ID,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
108,Apr 28 2020,"DFIN - Donnelley Financial Solutions, Inc.",6.32,+0.19 (+3.10%),6.32,6.13,6.36,6.02 - 6.39,4.04 - 16.20,"118,015","288,342",213.195M,1.87,5.75,1.1,7-May-20,N/A (N/A),11.2
109,Apr 28 2020,XRX - Xerox Holdings Corporation,17.74,-0.08 (-0.45%),17.74,17.82,17.82,17.10 - 18.43,15.01 - 39.47,"4,643,121","3,178,198",3.776B,1.98,3.06,5.8,"Jul 28, 2020 - Aug 03, 2020",1.00 (5.61%),18
110,Apr 28 2020,GT - The Goodyear Tire & Rubber Company,7.68,+0.38 (+5.21%),7.68,7.3,7.6,7.33 - 7.76,4.09 - 19.32,"4,613,574","6,621,238",1.787B,2.02,N/A,-1.34,30-Apr-20,N/A (N/A),11.19
111,Apr 28 2020,PGR - The Progressive Corporation,81.14,-1.82 (-2.19%),81.14,82.96,83.59,80.97 - 83.83,62.18 - 84.96,"3,098,045","4,071,111",47.491B,0.56,13.39,6.06,5-May-20,0.40 (0.48%),87.13
112,Apr 28 2020,ALL - The Allstate Corporation,101.84,-1.25 (-1.21%),101.84,103.09,105.19,101.68 - 106.74,64.13 - 125.92,"1,967,374","2,407,947",32.223B,0.93,7.26,14.03,5-May-20,2.16 (2.10%),116.27
113,Apr 28 2020,CINF - Cincinnati Financial Corporation,71.81,-10.22 (-12.46%),71.81,82.03,76.28,71.27 - 77.26,65.69 - 118.19,"3,936,370","995,531",11.651B,0.83,5.93,12.1,"Jul 28, 2020 - Aug 03, 2020",2.40 (2.93%),81.86
114,Apr 28 2020,HOFT - Hooker Furniture Corporation,14.25,-0.41 (-2.80%),14.25,14.66,15.12,14.18 - 15.47,12.30 - 31.22,"144,300","81,269",169.183M,0.9,9.9,1.44,14-Apr-20,0.64 (4.37%),21
115,Apr 28 2020,CCB - Coastal Financial Corporation,13.57,+0.14 (+1.04%),13.57,13.43,13.43,13.01 - 13.57,8.41 - 18.58,"7,537","20,652",161.868M,N/A,12.68,1.07,27-Apr-20,N/A (N/A),16
116,Apr 28 2020,"ESQ - Esquire Financial Holdings, Inc.",16,+0.57 (+3.69%),16,15.43,16.1,15.39 - 16.30,11.70 - 28.89,"39,891","24,814",122.711M,1.4,9.1,1.76,24-Apr-20,N/A (N/A),18
117,Apr 28 2020,"RVSB - Riverview Bancorp, Inc.",5.3,+0.14 (+2.71%),5.3,5.16,5.36,5.20 - 5.36,4.05 - 8.70,"64,168","83,090",120.567M,0.95,7.07,0.75,23-Jan-20,0.20 (3.88%),5.5
118,Apr 28 2020,FAF - First American Financial Corporation,47.57,+0.62 (+1.32%),47.57,46.95,48.13,47.21 - 49.22,29.36 - 66.78,"1,285,938","1,310,761",5.373B,1.11,8.21,5.8,23-Jul-20,1.76 (3.70%),54
119,Apr 28 2020,"PYPL - PayPal Holdings, Inc.",116.14,-4.39 (-3.64%),116.14,120.53,121.66,115.90 - 122.00,82.07 - 124.45,"9,192,284","10,148,074",136.219B,0.94,56.11,2.07,6-May-20,N/A (N/A),125.65
